PROCEDIMENTO;DESCRIÇÃO;MATERIAL CIRÚRGICO;QUANTIDADE
Reparo do manguito rotador;Artroscopia;Lâmina de shaver de partes moles;1
Reparo do manguito rotador;Artroscopia;Lâmina de shaver óssea;1
Reparo do manguito rotador;Artroscopia;Equipo bomba de infusão;1
Reparo do manguito rotador;Artroscopia;Ponteira de radiofrequência;1
Reparo do manguito rotador;Artroscopia;Âncoras de tecido;4
Reparo do manguito rotador;Artroscopia;Âncoras sem nó;2
Reparo do manguito rotador;Artroscopia;Agulha para pinça Scorpion;1
Reparo do manguito rotador;Artroscopia;Cânulas de artroscopia para ombro;3
Reparo do manguito rotador;Cirurgia aberta;Âncoras de tecido;4
Reparo do manguito rotador;Cirurgia aberta;Âncoras sem nó;2
Reparo do manguito rotador;Cirurgia aberta;Agulha para pinça Scorpion;1
Infiltração e bloqueio do ombro;Bloqueio - Guiado por USG;Ácido hialurônico;1
Infiltração e bloqueio do ombro;Bloqueio - Guiado por USG;Cânula de bloqueio;1
Luxação glenoumeral;Artroscopia;Lâmina de shaver de partes moles;1
Luxação glenoumeral;Artroscopia;Lâmina de shaver óssea;1
Luxação glenoumeral;Artroscopia;Equipo bomba de infusão;1
Luxação glenoumeral;Artroscopia;Ponteira de radiofrequência;1
Luxação glenoumeral;Artroscopia;Âncoras de tecido;4
Luxação glenoumeral;Artroscopia;Âncoras sem nó;2
Luxação glenoumeral;Artroscopia;Agulha para pinça Scorpion;1
Luxação glenoumeral;Artroscopia;Cânulas de artroscopia para ombro;3
Luxação glenoumeral;Latarjet;Lâmina de shaver óssea;1
Luxação glenoumeral;Latarjet;Brocas;2
Luxação glenoumeral;Latarjet;Âncoras de tecido;2
Luxação glenoumeral;Latarjet;Lâmina de serra reta;1
Luxação glenoumeral;Latarjet;Lâmina de serra em L;1
Luxação glenoumeral;Latarjet;Parafusos canulados - Latarjet;2
Luxação glenoumeral;Latarjet;Fios Guia rosqueados;2
Luxação glenoumeral;Latarjet;Arruelas;2
Luxação glenoumeral;Latarjet;Kit instrumental de Latarjet;1
Luxação acrômio-clavicular (LAC);LAC;Lâmina de shaver de partes moles;1
Luxação acrômio-clavicular (LAC);LAC;Lâmina de shaver óssea;1
Luxação acrômio-clavicular (LAC);LAC;Equipo bomba de infusão;1
Luxação acrômio-clavicular (LAC);LAC;Ponteira de radiofrequência;1
Luxação acrômio-clavicular (LAC);LAC;Âncoras;2
Luxação acrômio-clavicular (LAC);LAC;Cânulas de artroscopia para ombro;2
Luxação acrômio-clavicular (LAC);LAC;02 botões dog bone;2
Luxação acrômio-clavicular (LAC);LAC;Fios fiber tape loop.;2
Luxação acrômio-clavicular (LAC);LAC;Broca canulada;1
Artroplastia reversa do ombro;Artroplastia;Glenosfera inversa;1
Artroplastia reversa do ombro;Artroplastia;Inverse epifise;1
Artroplastia reversa do ombro;Artroplastia;Parafusos de fixação Inverse lagscrew;4
Artroplastia reversa do ombro;Artroplastia;Metaglena inverse;1
Artroplastia reversa do ombro;Artroplastia;Haste inverse;1
Artroplastia reversa do ombro;Artroplastia;Espaçador inverse inlay;1
Artroplastia reversa do ombro;Artroplastia;Lâmina de serra oscilante;1
