code;description;;;
C00;Neoplasia maligna do lábio;;;
C00.0;Neoplasia maligna do lábio superior externo;;;
C00.1;Neoplasia maligna do lábio inferior externo;;;
C00.2;Neoplasia maligna do lábio externo, não especificado;;;
C00.3;Neoplasia maligna do lábio superior, face interna;;;
C00.4;Neoplasia maligna do lábio inferior, face interna;;;
C00.5;Neoplasia maligna do lábio, sem especificação, face interna;;;
C00.6;Neoplasia maligna da comissura labial;;;
C00.8;Neoplasia maligna do lábio com lesão invasiva;;;
C00.9;Neoplasia maligna do lábio, não especificado;;;
C01;Neoplasia maligna da base da língua;;;
C01;Neoplasia maligna da base da língua;;;
C02;Neoplasia maligna de outras partes e de partes não especificadas da língua;;;
C02.0;Neoplasia maligna da face dorsal da língua;;;
C02.1;Neoplasia maligna da borda da língua;;;
C02.2;Neoplasia maligna da face ventral da língua;;;
C02.3;Neoplasia maligna de dois terços anteriores da língua, parte não especificada;;;
C02.4;Neoplasia maligna da amígdala lingual;;;
C02.8;Neoplasia maligna da língua com lesão invasiva;;;
C02.9;Neoplasia maligna da língua, não especificada;;;
C03;Neoplasia maligna da gengiva;;;
C03.0;Neoplasia maligna da gengiva superior;;;
C03.1;Neoplasia maligna da gengiva inferior;;;
C03.9;Neoplasia maligna da gengiva, não especificada;;;
C04;Neoplasia maligna do assoalho da boca;;;
C04.0;Neoplasia maligna do assoalho anterior da boca;;;
C04.1;Neoplasia maligna do assoalho lateral da boca;;;
C04.8;Neoplasia maligna do assoalho da boca com lesão invasiva;;;
C04.9;Neoplasia maligna do assoalho da boca, não especificado;;;
C05;Neoplasia maligna do palato;;;
C05.0;Neoplasia maligna do palato duro;;;
C05.1;Neoplasia maligna do palato mole;;;
C05.2;Neoplasia maligna da úvula;;;
C05.8;Neoplasia maligna do palato com lesão invasiva;;;
C05.9;Neoplasia maligna do palato, não especificado;;;
C06;Neoplasia maligna de outras partes e de partes não especificadas da boca;;;
C06.0;Neoplasia maligna da mucosa oral;;;
C06.1;Neoplasia maligna do vestíbulo da boca;;;
C06.2;Neoplasia maligna da área retromolar;;;
C06.8;Neoplasia maligna de outras partes e de partes não especificadas da boca com lesão invasiva;;;
C06.9;Neoplasia maligna da boca, não especificada;;;
C07;Neoplasia maligna da glândula parótida;;;
C07;Neoplasia maligna da glândula parótida;;;
C08;Neoplasia maligna de outras glândulas salivares maiores e as não especificadas;;;
C08.0;Neoplasia maligna da glândula submandibular;;;
C08.1;Neoplasia maligna da glândula sublingual;;;
C08.8;Neoplasia maligna das glândulas salivares maiores com lesão invasiva;;;
C08.9;Neoplasia maligna da glândula salivar maior, não especificada;;;
C09;Neoplasia maligna da amígdala;;;
C09.0;Neoplasia maligna da fossa amigdaliana;;;
C09.1;Neoplasia maligna do pilar amigdaliano (anterior) (posterior);;;
C09.8;Neoplasia maligna da amígdala com lesão invasiva;;;
C09.9;Neoplasia maligna da amígdala, não especificada;;;
C10;Neoplasia maligna da orofaringe;;;
C10.0;Neoplasia maligna da valécula;;;
C10.1;Neoplasia maligna da face anterior da epiglote;;;
C10.2;Neoplasia maligna da parede lateral da orofaringe;;;
C10.3;Neoplasia maligna da parede posterior da orofaringe;;;
C10.4;Neoplasia maligna da fenda branquial;;;
C10.8;Neoplasia maligna da orofaringe com lesão invasiva;;;
C10.9;Neoplasia maligna da orofaringe, não especificada;;;
C11;Neoplasia maligna da nasofaringe;;;
C11.0;Neoplasia maligna da parede superior da nasofaringe;;;
C11.1;Neoplasia maligna da parede posterior da nasofaringe;;;
C11.2;Neoplasia maligna da parede lateral da nasofaringe;;;
C11.3;Neoplasia maligna da parede anterior da nasofaringe;;;
C11.8;Neoplasia maligna da nasofaringe com lesão invasiva;;;
C11.9;Neoplasia maligna da nasofaringe, não especificada;;;
C12;Neoplasia maligna do seio piriforme;;;
C12;Neoplasia maligna do seio piriforme;;;
C13;Neoplasia maligna da hipofaringe;;;
C13.0;Neoplasia maligna da região pós-cricóidea;;;
C13.1;Neoplasia maligna da prega ariepiglótica, face hipofaríngea;;;
C13.2;Neoplasia maligna da parede posterior da hipofaringe;;;
C13.8;Neoplasia maligna da hipofaringe com lesão invasiva;;;
C13.9;Neoplasia maligna da hipofaringe, não especificada;;;
C14;Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe;;;
