PROCEDIMENTO;DESCRIÇÃO;MATERIAL CIRÚRGICO;QUANTIDADE
Reparo do manguito rotador;Artroscopia;LÂMINA DE SHAVER DE PARTES MOLES;1
Reparo do manguito rotador;Artroscopia;LÂMINA DE SHAVER ÓSSEA;1
Reparo do manguito rotador;Artroscopia;EQUIPO BOMBA DE INFUSÃO;1
Reparo do manguito rotador;Artroscopia;PONTEIRA DE RADIOFREQUÊNCIA;1
Reparo do manguito rotador;Artroscopia;ÂNCORAS DE TECIDO;4
Reparo do manguito rotador;Artroscopia;ÂNCORAS SEM NÓ;2
Reparo do manguito rotador;Artroscopia;AGULHA PARA PINÇA SCORPION;1
Reparo do manguito rotador;Artroscopia;CÂNULAS DE ARTROSCOPIA PARA OMBRO;3
Reparo do manguito rotador;Cirurgia aberta;ÂNCORAS DE TECIDO;4
Reparo do manguito rotador;Cirurgia aberta;ÂNCORAS SEM NÓ;2
Reparo do manguito rotador;Cirurgia aberta;AGULHA PARA PINÇA SCORPION;1
Infiltração e bloqueio do ombro;Bloqueio - Guiado por USG;ÁCIDO HIALURÔNICO;1
Infiltração e bloqueio do ombro;Bloqueio - Guiado por USG;CÂNULA DE BLOQUEIO;1
Luxação glenoumeral;Artroscopia;LÂMINA DE SHAVER DE PARTES MOLES;1
Luxação glenoumeral;Artroscopia;LÂMINA DE SHAVER ÓSSEA;1
Luxação glenoumeral;Artroscopia;EQUIPO BOMBA DE INFUSÃO;1
Luxação glenoumeral;Artroscopia;PONTEIRA DE RADIOFREQUÊNCIA;1
Luxação glenoumeral;Artroscopia;ÂNCORAS DE TECIDO;4
Luxação glenoumeral;Artroscopia;ÂNCORAS SEM NÓ;2
Luxação glenoumeral;Artroscopia;AGULHA PARA PINÇA SCORPION;1
Luxação glenoumeral;Artroscopia;CÂNULAS DE ARTROSCOPIA PARA OMBRO;3
Luxação glenoumeral;Latarjet;LÂMINA DE SHAVER ÓSSEA;1
Luxação glenoumeral;Latarjet;BROCAS;2
Luxação glenoumeral;Latarjet;ÂNCORAS DE TECIDO;2
Luxação glenoumeral;Latarjet;LÂMINA DE SERRA RETA;1
Luxação glenoumeral;Latarjet;LÂMINA DE SERRA EM L;1
Luxação glenoumeral;Latarjet;PARAFUSOS CANULADOS - LATARJET;2
Luxação glenoumeral;Latarjet;FIOS GUIA ROSQUEADOS;2
Luxação glenoumeral;Latarjet;ARRUELAS;2
Luxação glenoumeral;Latarjet;KIT INSTRUMENTAL DE LATARJET;1
Luxação acrômio-clavicular (LAC);LAC;LÂMINA DE SHAVER DE PARTES MOLES;1
Luxação acrômio-clavicular (LAC);LAC;LÂMINA DE SHAVER ÓSSEA;1
Luxação acrômio-clavicular (LAC);LAC;EQUIPO BOMBA DE INFUSÃO;1
Luxação acrômio-clavicular (LAC);LAC;PONTEIRA DE RADIOFREQUÊNCIA;1
Luxação acrômio-clavicular (LAC);LAC;ÂNCORAS;2
Luxação acrômio-clavicular (LAC);LAC;CÂNULAS DE ARTROSCOPIA PARA OMBRO;2
Luxação acrômio-clavicular (LAC);LAC;02 BOTÕES DOG BONE;2
Luxação acrômio-clavicular (LAC);LAC;FIOS FIBER TAPE LOOP.;2
