3.01.01.97-2;Abdominoplastia pós-bariátrica;10A;–;2;5
3.01.01.01-8;Abrasão cirúrgica (por sessão);3C;–;–;2
3.01.01.93-0;Abscesso de unha (drenagem) – tratamento cirúrgico;2B;–;–;0
3.01.01.02-6;Alopecia parcial – exérese e sutura;4C;–;1;3
3.01.01.03-4;Alopecia parcial – rotação de retalho;5B;–;1;3
3.01.01.04-2;Alopecia parcial – rotação múltipla de retalhos;8C;–;2;3
3.01.01.05-0;Apêndice pré-auricular – ressecção;4A;–;1;4
3.01.01.06-9;Autonomização de retalho – por estágio;5B;–;1;2
3.01.01.07-7;Biópsia de pele, tumores superficiais, tecido celular subcutâneo, linfonodo superficial, etc.;2B;–;1;0
3.01.01.08-5;Biópsia de unha;2B;–;–;0
3.01.01.09-3;Calosidade e/ou mal perfurante – desbastamento (por lesão);1B;–;–;0
3.01.01.94-8;Cantoplastia ungueal;3A;–;1;2
3.01.01.10-7;Cauterização química (por grupo de até 5 lesões);2A;–;–;0
3.01.01.11-5;Cirurgia da hidrosadenite (por região);5B;–;1;3
3.01.01.14-0;Correção cirúrgica de linfedema (por estágio);9C;–;2;4
3.01.01.15-8;Correção cirúrgica de sequelas de alopecia traumática com microenxertos pilosos (por região);6A;–;1;5
3.01.01.16-6;Correção de deformidades nos membros com utilização de implantes;9B;–;2;6
3.01.01.17-4;Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos com o emprego de expansores em retalhos musculares ou miocutâneos (por estágio);9B;–;2;4
3.01.01.18-2;Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos, com o emprego de expansores de tecido, em retalhos cutâneos (por estágio);9B;–;2;4
3.01.01.19-0;Correção de lipodistrofia braquial, crural ou trocantérica de membros superiores e inferiores;9A;–;2;4
3.01.01.20-4;Criocirurgia (nitrogênio líquido) de neoplasias cutâneas;3B;–;–;2
3.01.01.21-2;Curativo de queimaduras – por unidade topográfica (UT) ambulatorial;1C;–;–;1
3.01.01.22-0;Curativo de queimaduras – por unidade topográfica (UT) hospitalar;2C;–;–;1
3.01.01.23-9;Curativo especial sob anestesia – por unidade topográfica (UT);2C;–;–;1
3.01.01.24-7;Curetagem e eletrocoagulação de CA de pele (por lesão);3A;–;–;0
3.01.01.25-5;Curetagem simples de lesões de pele (por grupo de até 5 lesões);2A;–;–;0
3.01.01.26-3;Dermoabrasão de lesões cutâneas;4C;–;–;0
3.01.01.99-9;Dermolipectomia dos membros inferiores – coxoplastia pós-bariátrica;9B;–;2;5
3.01.01.98-0;Dermolipectomia dos membros superiores – braquioplastia pós-bariátrica;9B;–;2;5
3.01.01.27-1;Dermolipectomia para correção de abdome em avental;9C;–;2;5
3.01.01.28-0;Desbridamento cirúrgico – por unidade topográfica (UT);3C;–;–;2
3.01.01.29-8;Eletrocoagulação de lesões de pele e mucosas – com ou sem curetagem (por grupo de até 5 lesões);2C;–;–;0
3.01.01.30-1;Enxerto cartilaginoso;5B;–;1;2
3.01.01.31-0;Enxerto composto;5B;–;1;2
